P_atm,T_K,Bg,Bc,hw_MJkg
0.01,3400,0.8,2.000000e+02,3.026640e+01
0.01,3400,0.9,2.000000e+02,3.027690e+01
0.01,3400,1,2.000000e+02,3.028730e+01
0.01,3400,1.2,2.000000e+02,3.030810e+01
0.01,3400,1.5,2.000000e+02,3.033920e+01
0.01,3400,1.9,2.000000e+02,3.038030e+01
0.01,3400,2.4,2.400000e+02,3.041120e+01
0.01,3400,3,3.000000e+02,3.043170e+01
0.01,3400,4,4.000000e+02,3.045180e+01
0.01,3400,5.5,5.500000e+02,3.046810e+01
0.01,3400,7.5,7.500000e+02,3.047950e+01
0.01,3400,10,1.000000e+03,3.048730e+01
0.01,3700,0,2.000000e+02,3.652900e+01
0.01,3700,0.02,2.000000e+02,3.653210e+01
0.01,3700,0.04,2.000000e+02,3.653520e+01
0.01,3700,0.07,2.000000e+02,3.653980e+01
0.01,3700,0.1,2.000000e+02,3.654430e+01
0.01,3700,0.15,2.000000e+02,3.655200e+01
0.01,3700,0.2,2.000000e+02,3.655960e+01
0.01,3700,0.25,2.000000e+02,3.656720e+01
0.01,3700,0.32,2.000000e+02,3.657790e+01
0.01,3700,0.4,2.000000e+02,3.659010e+01
0.01,3700,0.5,2.000000e+02,3.660520e+01
0.01,3700,0.6,2.000000e+02,3.662040e+01
0.01,3700,0.7,2.000000e+02,3.663550e+01
0.01,3700,0.8,2.000000e+02,3.665060e+01
0.01,3700,0.9,2.000000e+02,3.666570e+01
0.01,3700,1,2.000000e+02,3.668070e+01
0.01,3700,1.2,2.000000e+02,3.671070e+01
0.01,3700,1.5,2.000000e+02,3.675540e+01
0.01,3700,1.9,2.000000e+02,3.681460e+01
0.01,3700,2.4,2.400000e+02,3.685290e+01
0.01,3700,3,3.000000e+02,3.687620e+01
0.01,3700,4,4.000000e+02,3.689950e+01
0.01,3700,5.5,5.500000e+02,3.691830e+01
0.01,3700,7.5,7.500000e+02,3.693170e+01
0.01,3700,10,1.000000e+03,3.694080e+01
1,2000,0,1.748540e-01,6.417310e-01
1,2000,0.02,1.717510e-01,6.893910e-01
1,2000,0.04,1.679300e-01,7.265810e-01
1,2000,0.07,1.619890e-01,7.779580e-01
1,2000,0.1,1.559320e-01,8.259810e-01
1,2000,0.15,1.457020e-01,9.005390e-01
1,2000,0.2,1.353730e-01,9.695640e-01
1,2000,0.25,1.249810e-01,1.033940e+00
1,2000,0.32,1.103600e-01,1.117350e+00
1,2000,0.4,9.357630e-02,1.204400e+00
1,2000,0.5,7.251890e-02,1.302700e+00
1,2000,0.6,5.139830e-02,1.391070e+00
1,2000,0.7,3.022980e-02,1.471010e+00
1,2000,0.8,9.023280e-03,1.543700e+00
1,2000,0.9,0.000000e+00,1.610110e+00
1,2000,1,0.000000e+00,1.671020e+00
1,2000,1.2,0.000000e+00,1.778920e+00
1,2000,1.5,0.000000e+00,1.913120e+00
1,2000,1.9,0.000000e+00,2.054450e+00
1,2000,2.4,0.000000e+00,2.189600e+00
1,2000,3,0.000000e+00,2.311510e+00
1,2000,4,0.000000e+00,2.454740e+00
1,2000,5.5,0.000000e+00,2.591860e+00
1,2000,7.5,0.000000e+00,2.702700e+00
1,2000,10,0.000000e+00,2.786330e+00
1,3000,0,1.768170e-01,2.009920e+00
1,3000,0.02,1.845660e-01,2.364480e+00
1,3000,0.04,1.883150e-01,2.608480e+00
1,3000,0.07,1.916460e-01,2.907050e+00
1,3000,0.1,1.936050e-01,3.162350e+00
1,3000,0.15,1.952140e-01,3.530500e+00
1,3000,0.2,1.955650e-01,3.850590e+00
1,3000,0.25,1.951030e-01,4.136190e+00
1,3000,0.32,1.935100e-01,4.492030e+00
1,3000,0.4,1.907290e-01,4.849890e+00
1,3000,0.5,1.862290e-01,5.240600e+00
1,3000,0.6,1.808950e-01,5.581880e+00
1,3000,0.7,1.749280e-01,5.883620e+00
1,3000,0.8,1.684600e-01,6.152930e+00
1,3000,0.9,1.615830e-01,6.395130e+00
1,3000,1,1.543630e-01,6.614350e+00
1,3000,1.2,1.390860e-01,6.996330e+00
1,3000,1.5,1.145590e-01,7.461310e+00
1,3000,1.9,7.968670e-02,7.940250e+00
1,3000,2.4,3.364220e-02,8.389200e+00
1,3000,3,0.000000e+00,8.787310e+00
1,3000,4,0.000000e+00,9.247610e+00
1,3000,5.5,0.000000e+00,9.681430e+00
1,3000,7.5,0.000000e+00,1.002760e+01
1,3000,10,0.000000e+00,1.028630e+01
1,3400,0,2.097030e-01,3.371170e+00
1,3400,0.02,2.212520e-01,3.888560e+00
1,3400,0.04,2.306410e-01,4.314460e+00
1,3400,0.07,2.426140e-01,4.859100e+00
1,3400,0.1,2.530580e-01,5.331430e+00
1,3400,0.15,2.683880e-01,6.013040e+00
1,3400,0.2,2.820300e-01,6.601980e+00
1,3400,0.25,2.945270e-01,7.123090e+00
1,3400,0.32,3.106520e-01,7.765770e+00
1,3400,0.4,3.276610e-01,8.404410e+00
1,3400,0.5,3.473820e-01,9.092800e+00
1,3400,0.6,3.658360e-01,9.686620e+00
1,3400,0.7,3.833220e-01,1.020600e+01
1,3400,0.8,4.000380e-01,1.066520e+01
1,3400,0.9,4.161230e-01,1.107480e+01
1,3400,1,4.316790e-01,1.144290e+01
1,3400,1.2,4.615010e-01,1.207840e+01
1,3400,1.5,5.037510e-01,1.284250e+01
1,3400,1.9,5.567500e-01,1.361970e+01
1,3400,2.4,6.192580e-01,1.434010e+01
1,3400,3,6.904510e-01,1.497340e+01
1,3400,4,8.028940e-01,1.570070e+01
1,3400,5.5,9.623300e-01,1.638340e+01
1,3400,7.5,1.164580e+00,1.692840e+01
1,3400,10,1.407580e+00,1.733770e+01
1,3700,0,5.050640e-01,9.098070e+00
1,3700,0.02,5.348240e-01,9.720480e+00
1,3700,0.04,5.633390e-01,1.027710e+01
1,3700,0.07,6.044920e-01,1.101990e+01
1,3700,0.1,6.442580e-01,1.167780e+01
1,3700,0.15,7.084110e-01,1.263250e+01
1,3700,0.2,7.706970e-01,1.345290e+01
1,3700,0.25,8.316520e-01,1.417020e+01
1,3700,0.32,9.153500e-01,1.504020e+01
1,3700,0.4,1.009270e+00,1.588600e+01
1,3700,0.5,1.124770e+00,1.677490e+01
1,3700,0.6,1.238700e+00,1.752200e+01
1,3700,0.7,1.351430e+00,1.816010e+01
1,3700,0.8,1.463200e+00,1.871250e+01
1,3700,0.9,1.574180e+00,1.919580e+01
1,3700,1,1.684520e+00,1.962270e+01
1,3700,1.2,1.903600e+00,2.034320e+01
1,3700,1.5,2.229170e+00,2.118270e+01
1,3700,1.9,2.659240e+00,2.200720e+01
1,3700,2.4,3.192350e+00,2.274630e+01
1,3700,3,3.827590e+00,2.337660e+01
1,3700,4,4.879160e+00,2.407920e+01
1,3700,5.5,6.446190e+00,2.471890e+01
1,3700,7.5,8.524460e+00,2.521670e+01
1,3700,10,1.111220e+01,2.558340e+01
