P_atm,T_K,Bg,Bc,hw_MJkg
0.01,3400,10,1.000000e+03,3.022460e+01
0.01,3700,0,2.000000e+02,3.652900e+01
0.01,3700,0.02,2.000000e+02,3.652890e+01
0.01,3700,0.04,2.000000e+02,3.652870e+01
0.01,3700,0.07,2.000000e+02,3.652840e+01
0.01,3700,0.1,2.000000e+02,3.652810e+01
0.01,3700,0.15,2.000000e+02,3.652760e+01
0.01,3700,0.2,2.000000e+02,3.652720e+01
0.01,3700,0.25,2.000000e+02,3.652670e+01
0.01,3700,0.32,2.000000e+02,3.652600e+01
0.01,3700,0.4,2.000000e+02,3.652530e+01
0.01,3700,0.5,2.000000e+02,3.652430e+01
0.01,3700,0.6,2.000000e+02,3.652340e+01
0.01,3700,0.7,2.000000e+02,3.652240e+01
0.01,3700,0.8,2.000000e+02,3.652140e+01
0.01,3700,0.9,2.000000e+02,3.652040e+01
0.01,3700,1,2.000000e+02,3.651940e+01
0.01,3700,1.2,2.000000e+02,3.651740e+01
0.01,3700,1.5,2.000000e+02,3.651440e+01
0.01,3700,1.9,2.000000e+02,3.651030e+01
0.01,3700,2.4,2.400000e+02,3.653240e+01
0.01,3700,3,3.000000e+02,3.655540e+01
0.01,3700,4,4.000000e+02,3.657830e+01
0.01,3700,5.5,5.500000e+02,3.659690e+01
0.01,3700,7.5,7.500000e+02,3.661000e+01
0.01,3700,10,1.000000e+03,3.661900e+01
1,2000,0,1.748540e-01,6.417310e-01
1,2000,0.02,1.765370e-01,6.453630e-01
1,2000,0.04,1.776900e-01,6.421440e-01
1,2000,0.07,1.792640e-01,6.356010e-01
1,2000,0.1,1.807510e-01,6.283480e-01
1,2000,0.15,1.831280e-01,6.158790e-01
1,2000,0.2,1.854300e-01,6.035430e-01
1,2000,0.25,1.876850e-01,5.916100e-01
1,2000,0.32,1.907870e-01,5.757530e-01
1,2000,0.4,1.942770e-01,5.589000e-01
1,2000,0.5,1.985810e-01,5.396580e-01
1,2000,0.6,2.028370e-01,5.222590e-01
1,2000,0.7,2.070570e-01,5.064890e-01
1,2000,0.8,2.112490e-01,4.921490e-01
1,2000,0.9,2.154170e-01,4.790640e-01
1,2000,1,2.195650e-01,4.670820e-01
1,2000,1.2,2.278140e-01,4.459220e-01
1,2000,1.5,2.400950e-01,4.197360e-01
1,2000,1.9,2.563450e-01,3.923250e-01
1,2000,2.4,2.765150e-01,3.662490e-01
1,2000,3,3.005710e-01,3.428070e-01
1,2000,4,3.404180e-01,3.152710e-01
1,2000,5.5,3.998090e-01,2.887670e-01
1,2000,7.5,4.785470e-01,2.670600e-01
1,2000,10,5.765140e-01,2.503440e-01
1,3000,0,1.768170e-01,2.009920e+00
1,3000,0.02,1.852410e-01,2.204750e+00
1,3000,0.04,1.914680e-01,2.338270e+00
1,3000,0.07,1.993010e-01,2.494650e+00
1,3000,0.1,2.061890e-01,2.622230e+00
1,3000,0.15,2.164960e-01,2.797230e+00
1,3000,0.2,2.258990e-01,2.941720e+00
1,3000,0.25,2.347100e-01,3.065270e+00
1,3000,0.32,2.463560e-01,3.212780e+00
1,3000,0.4,2.589600e-01,3.354560e+00
1,3000,0.5,2.739590e-01,3.502440e+00
1,3000,0.6,2.883420e-01,3.626110e+00
1,3000,0.7,3.022560e-01,3.731410e+00
1,3000,0.8,3.157970e-01,3.822320e+00
1,3000,0.9,3.290340e-01,3.901690e+00
1,3000,1,3.420160e-01,3.971610e+00
1,3000,1.2,3.673550e-01,4.089210e+00
1,3000,1.5,4.041600e-01,4.225210e+00
1,3000,1.9,4.516060e-01,4.357160e+00
1,3000,2.4,5.090720e-01,4.473260e+00
1,3000,3,5.761230e-01,4.569860e+00
1,3000,4,6.847140e-01,4.673560e+00
1,3000,5.5,8.427630e-01,4.762490e+00
1,3000,7.5,1.047850e+00,4.826110e+00
1,3000,10,1.298550e+00,4.868270e+00
1,3400,0,2.097030e-01,3.371170e+00
1,3400,0.02,2.199700e-01,3.645290e+00
1,3400,0.04,2.293180e-01,3.878640e+00
1,3400,0.07,2.422620e-01,4.179140e+00
1,3400,0.1,2.543430e-01,4.438370e+00
1,3400,0.15,2.732120e-01,4.807300e+00
1,3400,0.2,2.910000e-01,5.119940e+00
1,3400,0.25,3.080270e-01,5.391420e+00
1,3400,0.32,3.309310e-01,5.719440e+00
1,3400,0.4,3.561200e-01,6.037980e+00
1,3400,0.5,3.865180e-01,6.373170e+00
1,3400,0.6,4.160090e-01,6.655610e+00
1,3400,0.7,4.447990e-01,6.897630e+00
1,3400,0.8,4.730280e-01,7.107760e+00
1,3400,0.9,5.007930e-01,7.292160e+00
1,3400,1,5.281690e-01,7.455430e+00
1,3400,1.2,5.819620e-01,7.731910e+00
1,3400,1.5,6.607940e-01,8.055230e+00
1,3400,1.9,7.633890e-01,8.373700e+00
1,3400,2.4,8.887830e-01,8.659240e+00
1,3400,3,1.036310e+00,8.902190e+00
1,3400,4,1.277350e+00,9.171160e+00
1,3400,5.5,1.631570e+00,9.412800e+00
1,3400,7.5,2.095470e+00,9.596960e+00
1,3400,10,2.667120e+00,9.729090e+00
1,3700,0,5.050640e-01,9.098070e+00
1,3700,0.02,5.281030e-01,9.425530e+00
1,3700,0.04,5.506710e-01,9.725470e+00
1,3700,0.07,5.838320e-01,1.013320e+01
1,3700,0.1,6.163410e-01,1.049940e+01
1,3700,0.15,6.694250e-01,1.103690e+01
1,3700,0.2,7.214740e-01,1.150250e+01
1,3700,0.25,7.727370e-01,1.191160e+01
1,3700,0.32,8.434910e-01,1.240960e+01
1,3700,0.4,9.232370e-01,1.289490e+01
1,3700,0.5,1.021650e+00,1.340590e+01
1,3700,0.6,1.118990e+00,1.383560e+01
1,3700,0.7,1.215480e+00,1.420280e+01
1,3700,0.8,1.311290e+00,1.452060e+01
1,3700,0.9,1.406530e+00,1.479860e+01
1,3700,1,1.501300e+00,1.504410e+01
1,3700,1.2,1.689640e+00,1.545800e+01
1,3700,1.5,1.969860e+00,1.593940e+01
1,3700,1.9,2.340380e+00,1.641100e+01
1,3700,2.4,2.800010e+00,1.683210e+01
1,3700,3,3.347970e+00,1.718980e+01
1,3700,4,4.255340e+00,1.758620e+01
1,3700,5.5,5.607620e+00,1.794430e+01
1,3700,7.5,7.400850e+00,1.822040e+01
1,3700,10,9.633060e+00,1.842180e+01
