P_atm,T_K,Bg,Bc,hw_MJkg
0.01,3400,0.07,2.000000e+02,3.018710e+01
0.01,3400,0.1,2.000000e+02,3.018930e+01
0.01,3400,0.15,2.000000e+02,3.019290e+01
0.01,3400,0.2,2.000000e+02,3.019650e+01
0.01,3400,0.25,2.000000e+02,3.020020e+01
0.01,3400,0.32,2.000000e+02,3.020520e+01
0.01,3400,0.4,2.000000e+02,3.021100e+01
0.01,3400,0.5,2.000000e+02,3.021820e+01
0.01,3400,0.6,2.000000e+02,3.022540e+01
0.01,3400,0.7,2.000000e+02,3.023260e+01
0.01,3400,0.8,2.000000e+02,3.023980e+01
0.01,3400,0.9,2.000000e+02,3.024690e+01
0.01,3400,1,2.000000e+02,3.025410e+01
0.01,3400,1.2,2.000000e+02,3.026830e+01
0.01,3400,1.5,2.000000e+02,3.028950e+01
0.01,3400,1.9,2.000000e+02,3.031770e+01
0.01,3400,2.4,2.400000e+02,3.034530e+01
0.01,3400,3,3.000000e+02,3.036560e+01
0.01,3400,4,4.000000e+02,3.038570e+01
0.01,3400,5.5,5.500000e+02,3.040190e+01
0.01,3400,7.5,7.500000e+02,3.041320e+01
0.01,3400,10,1.000000e+03,3.042090e+01
0.01,3700,0,2.000000e+02,3.652900e+01
0.01,3700,0.02,2.000000e+02,3.653120e+01
0.01,3700,0.04,2.000000e+02,3.653340e+01
0.01,3700,0.07,2.000000e+02,3.653670e+01
0.01,3700,0.1,2.000000e+02,3.654000e+01
0.01,3700,0.15,2.000000e+02,3.654550e+01
0.01,3700,0.2,2.000000e+02,3.655100e+01
0.01,3700,0.25,2.000000e+02,3.655650e+01
0.01,3700,0.32,2.000000e+02,3.656410e+01
0.01,3700,0.4,2.000000e+02,3.657290e+01
0.01,3700,0.5,2.000000e+02,3.658380e+01
0.01,3700,0.6,2.000000e+02,3.659470e+01
0.01,3700,0.7,2.000000e+02,3.660550e+01
0.01,3700,0.8,2.000000e+02,3.661640e+01
0.01,3700,0.9,2.000000e+02,3.662720e+01
0.01,3700,1,2.000000e+02,3.663800e+01
0.01,3700,1.2,2.000000e+02,3.665950e+01
0.01,3700,1.5,2.000000e+02,3.669170e+01
0.01,3700,1.9,2.000000e+02,3.673420e+01
0.01,3700,2.4,2.400000e+02,3.676820e+01
0.01,3700,3,3.000000e+02,3.679150e+01
0.01,3700,4,4.000000e+02,3.681460e+01
0.01,3700,5.5,5.500000e+02,3.683340e+01
0.01,3700,7.5,7.500000e+02,3.684660e+01
0.01,3700,10,1.000000e+03,3.685570e+01
1,2000,0,1.748540e-01,6.417310e-01
1,2000,0.02,1.712320e-01,6.778960e-01
1,2000,0.04,1.669570e-01,7.047530e-01
1,2000,0.07,1.603540e-01,7.413870e-01
1,2000,0.1,1.536450e-01,7.753810e-01
1,2000,0.15,1.423400e-01,8.278970e-01
1,2000,0.2,1.309440e-01,8.763490e-01
1,2000,0.25,1.194910e-01,9.214520e-01
1,2000,0.32,1.033900e-01,9.798150e-01
1,2000,0.4,8.492140e-02,1.040680e+00
1,2000,0.5,6.176460e-02,1.109380e+00
1,2000,0.6,3.855010e-02,1.171140e+00
1,2000,0.7,1.529170e-02,1.227010e+00
1,2000,0.8,0.000000e+00,1.277840e+00
1,2000,0.9,0.000000e+00,1.324290e+00
1,2000,1,0.000000e+00,1.366920e+00
1,2000,1.2,0.000000e+00,1.442460e+00
1,2000,1.5,0.000000e+00,1.536500e+00
1,2000,1.9,0.000000e+00,1.635640e+00
1,2000,2.4,0.000000e+00,1.730530e+00
1,2000,3,0.000000e+00,1.816190e+00
1,2000,4,0.000000e+00,1.916890e+00
1,2000,5.5,0.000000e+00,2.013300e+00
1,2000,7.5,0.000000e+00,2.091180e+00
1,2000,10,0.000000e+00,2.149860e+00
1,3000,0,1.768170e-01,2.009920e+00
1,3000,0.02,1.825700e-01,2.311740e+00
1,3000,0.04,1.849800e-01,2.521220e+00
1,3000,0.07,1.865730e-01,2.776450e+00
1,3000,0.1,1.869420e-01,2.993650e+00
1,3000,0.15,1.860650e-01,3.305480e+00
1,3000,0.2,1.840540e-01,3.575580e+00
1,3000,0.25,1.813050e-01,3.815980e+00
1,3000,0.32,1.765990e-01,4.114930e+00
1,3000,0.4,1.703470e-01,4.415150e+00
1,3000,0.5,1.616020e-01,4.742630e+00
1,3000,0.6,1.520970e-01,5.028540e+00
1,3000,0.7,1.420160e-01,5.281290e+00
1,3000,0.8,1.314780e-01,5.506890e+00
1,3000,0.9,1.205670e-01,5.709810e+00
1,3000,1,1.093430e-01,5.893520e+00
1,3000,1.2,8.613110e-02,6.213730e+00
1,3000,1.5,4.984070e-02,6.603720e+00
1,3000,1.9,0.000000e+00,7.005650e+00
1,3000,2.4,0.000000e+00,7.382550e+00
1,3000,3,0.000000e+00,7.716790e+00
1,3000,4,0.000000e+00,8.103030e+00
1,3000,5.5,0.000000e+00,8.466520e+00
1,3000,7.5,0.000000e+00,8.755730e+00
1,3000,10,0.000000e+00,8.970970e+00
1,3400,0,2.097030e-01,3.371170e+00
1,3400,0.02,2.184200e-01,3.804100e+00
1,3400,0.04,2.254750e-01,4.166320e+00
1,3400,0.07,2.343330e-01,4.632810e+00
1,3400,0.1,2.419020e-01,5.038870e+00
1,3400,0.15,2.527280e-01,5.626170e+00
1,3400,0.2,2.620780e-01,6.134530e+00
1,3400,0.25,2.704160e-01,6.584960e+00
1,3400,0.32,2.808710e-01,7.141330e+00
1,3400,0.4,2.915480e-01,7.695260e+00
1,3400,0.5,3.035100e-01,8.293650e+00
1,3400,0.6,3.143290e-01,8.811040e+00
1,3400,0.7,3.242710e-01,9.264570e+00
1,3400,0.8,3.335140e-01,9.666380e+00
1,3400,0.9,3.421830e-01,1.002550e+01
1,3400,1,3.503700e-01,1.034870e+01
1,3400,1.2,3.655670e-01,1.090800e+01
1,3400,1.5,3.860900e-01,1.158260e+01
1,3400,1.9,4.103950e-01,1.227120e+01
1,3400,2.4,4.373300e-01,1.291160e+01
1,3400,3,4.661230e-01,1.347610e+01
1,3400,4,5.083420e-01,1.412610e+01
1,3400,5.5,5.630420e-01,1.473750e+01
1,3400,7.5,6.262380e-01,1.522610e+01
1,3400,10,6.958800e-01,1.559310e+01
1,3700,0,5.050640e-01,9.098070e+00
1,3700,0.02,5.293590e-01,9.615540e+00
1,3700,0.04,5.527380e-01,1.008410e+01
1,3700,0.07,5.865610e-01,1.071610e+01
1,3700,0.1,6.192810e-01,1.128120e+01
1,3700,0.15,6.720710e-01,1.210910e+01
1,3700,0.2,7.232920e-01,1.282700e+01
1,3700,0.25,7.733740e-01,1.345960e+01
1,3700,0.32,8.420620e-01,1.423260e+01
1,3700,0.4,9.190380e-01,1.499020e+01
1,3700,0.5,1.013570e+00,1.579310e+01
1,3700,0.6,1.106690e+00,1.647310e+01
1,3700,0.7,1.198730e+00,1.705780e+01
1,3700,0.8,1.289900e+00,1.756680e+01
1,3700,0.9,1.380360e+00,1.801440e+01
1,3700,1,1.470220e+00,1.841140e+01
1,3700,1.2,1.648490e+00,1.908540e+01
1,3700,1.5,1.913090e+00,1.987660e+01
1,3700,1.9,2.262160e+00,2.066020e+01
1,3700,2.4,2.694330e+00,2.136780e+01
1,3700,3,3.208720e+00,2.197540e+01
1,3700,4,4.059270e+00,2.265690e+01
1,3700,5.5,5.325240e+00,2.328140e+01
1,3700,7.5,7.002430e+00,2.376990e+01
1,3700,10,9.089020e+00,2.413100e+01
